Epoch,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14,Class_15,Class_16,Class_17,Class_18,Class_19,Class_20,Class_21,Class_22,Class_23,Class_24,Class_25,Class_26,Class_27,Class_28,Class_29,Class_30,Class_31,Class_32,Class_33,Class_34,Class_35,Class_36,Class_37,Class_38,Class_39,Class_40,Class_41,Class_42,Class_43,Class_44,Class_45,Class_46,Class_47,Class_48,Class_49,Class_50,Class_51,Class_52,Class_53,Class_54,Class_55,Class_56,Class_57,Class_58,Class_59,Class_60,Class_61,Class_62,Class_63,Class_64,Class_65,Class_66,Class_67,Class_68,Class_69,Class_70,Class_71,Class_72,Class_73,Class_74,Class_75,Class_76,Class_77,Class_78,Class_79,Class_80,Class_81,Class_82,Class_83,Class_84,Class_85,Class_86,Class_87,Class_88,Class_89,Class_90,Class_91,Class_92,Class_93,Class_94,Class_95,Class_96,Class_97,Class_98,Class_99,Class_100,Class_101,Class_102,Class_103
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,0.771319568157196,0.014198527671396732,0.0,0.5566369295120239,0.18901295959949493,0.4775824546813965,0.5248984694480896,0.0,0.4277936816215515,0.06254661828279495,0.4319998025894165,0.1744534820318222,0.4541028141975403,0.3694988191127777,0.33476895093917847,0.4403429627418518,0.0,0.22275978326797485,0.333896279335022,0.0,0.0,0.4781343638896942,0.17845237255096436,0.0,0.29393744468688965,0.4607664942741394,0.0,0.0,0.3228271007537842,0.5335736274719238,0.6485439538955688,0.394741952419281,0.5093843340873718,0.17405565083026886,0.18315069377422333,0.3727981150150299,0.39385083317756653,0.5689101219177246,0.19049020111560822,0.5363834500312805,0.30321943759918213,0.6254413723945618,0.5928404927253723,0.0,0.42460203170776367,0.3822185695171356,0.37367770075798035,0.19562235474586487,0.3937177360057831,0.26304107904434204,0.14820823073387146,0.07292717695236206,0.33094173669815063,0.37887534499168396,0.3565947711467743,0.5525685548782349,0.5497795939445496,0.3646295368671417,0.49377045035362244,0.6618894338607788,0.0,0.23098227381706238,0.107594333589077,0.023654978722333908,0.4802309274673462,0.44881895184516907,0.46622559428215027,0.4102815091609955,0.28988316655158997,0.0,0.49161455035209656,0.4238027036190033,0.5472934246063232,0.5658656358718872,0.0,0.0,0.20438054203987122,0.2303391844034195,0.4671950936317444,0.42657384276390076,0.387637734413147,0.31408047676086426,0.5510289072990417,0.0,0.6342846155166626,0.6293766498565674,0.0,0.7240052819252014,0.49204522371292114,0.4149702191352844,0.47659239172935486,0.41200941801071167,0.3750326931476593,0.30875515937805176,0.37614262104034424,0.6459394693374634,0.5680504441261292,0.0,0.17478251457214355,0.0,0.0,0.2560751140117645,0.0,0.0004169181629549712
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,0.8335158228874207,0.25168707966804504,0.0,0.5565804243087769,0.16354943811893463,0.46654143929481506,0.6644333600997925,0.0,0.42658349871635437,0.06644368171691895,0.43748706579208374,0.23405739665031433,0.4164852499961853,0.418575644493103,0.47600889205932617,0.40160006284713745,0.13837243616580963,0.3741469383239746,0.3542330861091614,0.0,0.0,0.5044503808021545,0.18876169621944427,0.0,0.4018433094024658,0.4696927070617676,0.0,0.08532699942588806,0.3730361759662628,0.627349853515625,0.6931696534156799,0.413579523563385,0.5441166758537292,0.4523434042930603,0.1601860374212265,0.409390926361084,0.5832360982894897,0.5351782441139221,0.23653437197208405,0.5876904129981995,0.3971213102340698,0.5148050785064697,0.6614840626716614,0.004875898826867342,0.4925319254398346,0.3973000645637512,0.3706310987472534,0.2014313042163849,0.4635731875896454,0.262058824300766,0.18433845043182373,0.22743135690689087,0.3778786063194275,0.38854652643203735,0.3471151888370514,0.54027259349823,0.6045934557914734,0.3573879599571228,0.5607290863990784,0.7458593249320984,0.0,0.22272242605686188,0.0,0.3034087121486664,0.5728694200515747,0.5674624443054199,0.6629766225814819,0.4400882422924042,0.33504679799079895,0.01524683739989996,0.5104955434799194,0.5484809279441833,0.5231574177742004,0.6355506777763367,0.0,0.02581307850778103,0.25142690539360046,0.12348370999097824,0.5840628147125244,0.5683455467224121,0.44260644912719727,0.3354256749153137,0.5566272139549255,0.1491859406232834,0.7141059041023254,0.6946613788604736,0.0,0.793675422668457,0.5779365301132202,0.45687007904052734,0.48252880573272705,0.44872036576271057,0.5778303742408752,0.39415910840034485,0.4441845417022705,0.6802631616592407,0.6452928781509399,0.0,0.21484948694705963,0.0,0.0,0.17039963603019714,0.0002932699571829289,0.013181737624108791
