Epoch,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14,Class_15,Class_16,Class_17,Class_18,Class_19,Class_20,Class_21,Class_22,Class_23,Class_24,Class_25,Class_26,Class_27,Class_28,Class_29,Class_30,Class_31,Class_32,Class_33,Class_34,Class_35,Class_36,Class_37,Class_38,Class_39,Class_40,Class_41,Class_42,Class_43,Class_44,Class_45,Class_46,Class_47,Class_48,Class_49,Class_50,Class_51,Class_52,Class_53,Class_54,Class_55,Class_56,Class_57,Class_58,Class_59,Class_60,Class_61,Class_62,Class_63,Class_64,Class_65,Class_66,Class_67,Class_68,Class_69,Class_70,Class_71,Class_72,Class_73,Class_74,Class_75,Class_76,Class_77,Class_78,Class_79,Class_80,Class_81,Class_82,Class_83,Class_84,Class_85,Class_86,Class_87,Class_88,Class_89,Class_90,Class_91,Class_92,Class_93,Class_94,Class_95,Class_96,Class_97,Class_98,Class_99,Class_100,Class_101,Class_102,Class_103
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,0.8461684584617615,0.0,0.0,0.5648798942565918,0.1393539160490036,0.5019367933273315,0.6792195439338684,0.0,0.447165846824646,0.09071201831102371,0.43891867995262146,0.221501424908638,0.31041470170021057,0.43427035212516785,0.4405515789985657,0.06690335273742676,0.0,0.39584842324256897,0.0013222100678831339,0.0,0.0,0.36899706721305847,0.4663221836090088,0.0,0.5190535187721252,0.4822452664375305,0.0,0.05713452026247978,0.6128769516944885,0.7473046183586121,0.7285824418067932,0.3930380642414093,0.6331160068511963,0.4466070234775543,0.05939740687608719,0.11947906762361526,0.59455406665802,0.6981896162033081,0.1515757441520691,0.6928287148475647,0.45725691318511963,0.6644561290740967,0.7405607104301453,0.0,0.541425883769989,0.31597188115119934,0.4112131595611572,0.18279336392879486,0.4272586703300476,0.2549634277820587,0.15629996359348297,0.04687619209289551,0.36083000898361206,0.34118926525115967,0.2181795835494995,0.7134405374526978,0.5117394924163818,0.3473014831542969,0.5725621581077576,0.7968279719352722,0.0,0.26509085297584534,0.0,0.0,0.6364283561706543,0.5787023305892944,0.7232766151428223,0.4369485378265381,0.37743711471557617,0.0004109794390387833,0.551585853099823,0.3956623077392578,0.610710620880127,0.7029802203178406,0.0,0.0,0.35127440094947815,0.09546826779842377,0.4704323709011078,0.5541523694992065,0.44761765003204346,0.4940672516822815,0.6932508945465088,0.003363250521942973,0.7409296035766602,0.7128311991691589,5.601174052571878e-05,0.7854924201965332,0.6680065393447876,0.5019200444221497,0.5073195099830627,0.4498259127140045,0.24688123166561127,0.41839370131492615,0.4750751852989197,0.7185094356536865,0.6354073882102966,0.0,0.05736342817544937,0.0,0.0,0.21761059761047363,0.0,8.255337888840586e-05
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,0.8460403680801392,0.014897297136485577,0.0,0.6121687889099121,0.3234793245792389,0.49220481514930725,0.7754803895950317,0.0,0.47111350297927856,0.13193900883197784,0.43469178676605225,0.26113161444664,0.3789537847042084,0.5161585807800293,0.46263840794563293,0.264108270406723,0.007730945944786072,0.48369064927101135,0.13604530692100525,0.0,0.0,0.41451162099838257,0.5286188125610352,7.635654037585482e-05,0.4360559284687042,0.4808467924594879,0.0,0.14599762856960297,0.6108013391494751,0.738640546798706,0.785514771938324,0.48685604333877563,0.6394550204277039,0.48017382621765137,0.26253998279571533,0.47345051169395447,0.5416621565818787,0.7032414078712463,0.2999202609062195,0.7775288820266724,0.4848424792289734,0.6764497756958008,0.7391963601112366,0.0011462040711194277,0.5789624452590942,0.44907984137535095,0.44540148973464966,0.13956250250339508,0.4266866445541382,0.3334343433380127,0.21080723404884338,0.03487628698348999,0.39435580372810364,0.45103105902671814,0.33857762813568115,0.6984935998916626,0.6191540956497192,0.4104026257991791,0.5743542313575745,0.8164797425270081,0.0,0.31629425287246704,0.0381820946931839,7.822133920853958e-05,0.612328290939331,0.6080282330513,0.7407913208007812,0.43770715594291687,0.4022575616836548,0.0,0.5653757452964783,0.5614020228385925,0.648780882358551,0.6796937584877014,0.0,0.0,0.3648274540901184,0.1033598780632019,0.6299023032188416,0.5971876978874207,0.48668450117111206,0.47774142026901245,0.6884233951568604,0.13899113237857819,0.7394697070121765,0.7246437072753906,0.0,0.7981196641921997,0.6649575233459473,0.513699471950531,0.46479305624961853,0.5707767605781555,0.46687427163124084,0.44619080424308777,0.45993664860725403,0.7083182334899902,0.627893328666687,0.0,0.3279963433742523,0.0,0.0,0.07989194244146347,0.0,0.0010140934027731419
